tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable,m_bits
NanGate45,9.999999999999999e-26,0.000129638671875,86,12,0.7209302325581395,0.5235695677770613,0.08533480528047846,8
NanGate45,9.999999999999999e-26,8.49609375e-05,86,11,0.7441860465116279,0.4971016951887787,0.056779889344754315,8
NanGate45,9.999999999999999e-26,5.2062988281250006e-05,86,10,0.7674418604651163,0.477086368001273,0.03518631459261279,8
NanGate45,9.999999999999999e-26,2.923583984375e-05,86,9,0.7906976744186046,0.46292992070385985,0.019913603830619082,8
NanGate45,9.999999999999999e-26,1.46484375e-05,86,8,0.813953488372093,0.45376645773813273,0.010027583947695169,8
NanGate45,9.999999999999999e-26,6.278991699218751e-06,86,7,0.8372093023255814,0.44846736020736616,0.00431064224709051,8
NanGate45,9.999999999999999e-26,2.155303955078125e-06,86,6,0.8604651162790697,0.44584522988658454,0.0014817518391935158,8
NanGate45,9.999999999999999e-26,5.340576171875e-07,86,5,0.8837209302325582,0.4448122914969278,0.0003673642440043077,8
NanGate45,9.999999999999999e-26,7.855892181396483e-08,86,4,0.9069767441860463,0.4445218742951337,5.4047079738163656e-05,8
NanGate45,9.999999999999999e-26,4.70876693725586e-09,86,3,0.9302325581395348,0.4444747802954744,3.2396264052960107e-06,8
NanGate45,9.999999999999999e-26,4.7788489609956745e-11,86,2,0.9534883720930232,0.4444718079247415,3.2878446097702426e-08,8
NanGate45,9.999999999999999e-26,6.046718681318453e-15,86,1,0.9767441860465116,0.4444717774531634,4.124700581070774e-12,8
NanGate45,9.999999999999999e-26,9.999999999999999e-26,86,0,1.0,0.0,0.0,8
NanGate45,1e-20,0.00280859375,86,23,0.4651162790697674,1.2375187083746806,0.8555802273161266,8
NanGate45,1e-20,0.00246875,86,22,0.4883720930232558,1.2021531827246281,0.8174260610305064,8
NanGate45,1e-20,0.0021484375,86,21,0.5116279069767442,1.1603229659340286,0.7722974501062769,8
NanGate45,1e-20,0.00185546875,86,20,0.5348837209302325,1.113086161376007,0.7213359314300962,8
NanGate45,1e-20,0.001583984375,86,19,0.5581395348837209,1.0599411975575976,0.6640003836190643,8
NanGate45,1e-20,0.0013359374999999,86,18,0.5813953488372093,1.001894998706713,0.6013771288392631,8
NanGate45,1e-20,0.001109375,86,17,0.6046511627906976,0.9394873146163472,0.5340484772069992,8
NanGate45,1e-20,0.0009062499999999,86,16,0.627906976744186,0.8746388622092723,0.46408659791846135,8
NanGate45,1e-20,0.0007255859375,86,15,0.6511627906976745,0.808836690344241,0.3930957965336207,8
NanGate45,1e-20,0.0005673828125,86,14,0.6744186046511628,0.7441063797138026,0.3232613747311008,8
NanGate45,1e-20,0.000431640625,86,13,0.6976744186046512,0.6826698027487269,0.2569804039139366,8
NanGate45,1e-20,0.0003173828124999,86,12,0.7209302325581395,0.6263237441440183,0.19619134875280783,8
NanGate45,1e-20,0.0002231445312499,86,11,0.7441860465116279,0.5764027910191412,0.14233403116306104,8
NanGate45,1e-20,0.00014892578125,86,10,0.7674418604651163,0.5347468887313148,0.0973934797799398,8
NanGate45,1e-20,9.27734375e-05,86,9,0.7906976744186046,0.5017887660439407,0.06183654487335862,8
NanGate45,1e-20,5.2795410156250006e-05,86,8,0.813953488372093,0.4775369197677972,0.035672393244188506,8
NanGate45,1e-20,2.6489257812500003e-05,86,7,0.8372093023255814,0.46121159284227586,0.01805978246761068,8
NanGate45,1e-20,1.11846923828125e-05,86,6,0.8604651162790697,0.45157708956060766,0.007665579821634257,8
NanGate45,1e-20,3.63922119140625e-06,86,5,0.8837209302325582,0.44678966441482826,0.0025006568709765985,8
NanGate45,1e-20,7.867813110351563e-07,86,4,0.9069767441860463,0.44497338406526743,0.000541159275375468,8
NanGate45,1e-20,8.380413055419921e-08,86,3,0.9302325581395348,0.4445252190565127,5.765558207184946e-05,8
NanGate45,1e-20,2.216547727584839e-09,86,2,0.9534883720930232,0.4444731909738518,1.5249836747066426e-06,8
NanGate45,1e-20,1.917214831337333e-12,86,1,0.9767441860465116,0.4444717786719954,1.3190639674432977e-09,8
NanGate45,1e-20,1e-20,86,0,1.0,0.0,0.0,8
NanGate45,1e-15,0.0047421875,86,23,0.4651162790697674,1.3361680138943364,0.9620082228732155,8
NanGate45,1e-15,0.00425,86,22,0.4883720930232558,1.3219001441183083,0.946615303752972,8
NanGate45,1e-15,0.00378125,86,21,0.5116279069767442,1.3029793190988403,0.9262025347983326,8
NanGate45,1e-15,0.00334375,86,20,0.5348837209302325,1.2788557808921341,0.9001768085799858,8
NanGate45,1e-15,0.0029296875,86,19,0.5581395348837209,1.24824886347412,0.8671564760614607,8
NanGate45,1e-15,0.0025390624999999,86,18,0.5813953488372093,1.210164397989437,0.8260689762352168,8
NanGate45,1e-15,0.00217578125,86,17,0.6046511627906976,1.1642648610364037,0.7765501713214151,8
NanGate45,1e-15,0.00183984375,86,16,0.627906976744186,1.1102892963437512,0.7183185281381147,8
